title_type,rank,title,release_year,rating,votes,href_title,main_movie_page,genre,video_link
Movie,11.,The Six Triple Eight,2024,6.7, 15000,https://www.imdb.com/title/tt24458622/?ref_=sr_t_11,https://www.imdb.com/video/vi1788856601/?playlistId=tt24458622&ref_=tt_ov_ov_vi,"['Period Drama', 'Drama', 'History', 'War']",https://imdb-video.media-imdb.com/vi1788856601/1434659607842-pgv4ql-1732545000588.mp4?Expires=1736303603&Signature=IHJOg5uyMeh3vlJf3EE1fQMaEvGeHLcNdHgWvlX-p2VE4lKBbypKLdfrY0cfLsInrIJgFUDdIMMveXgZgvNwiEdLN8qi0oA~egko-eaDxN9YnXilQjhyvYarzFKSXxX3xNdetQgQ9prP6KSMCSL2drfu0xMqLSKdX0vtRi9GJWvbsTLg6gpR~F0FQDgVHYhZgGsn8QCzWH-8bjTkIBIlWh7m9DGeEQpTezDcpceWPGuaeRY6TX79wrOPwScvfqdBsMcNiiu10~4472B9B4gfxBWNKmYCST6ubP5Fz7sFCYKLVJVUc-3Y4IBUztramzpDihwK4XrT3SBYVtsCHaVmog__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,12.,The Substance,2024,7.4, 192000,https://www.imdb.com/title/tt17526714/?ref_=sr_t_12,https://www.imdb.com/video/vi2758919705/?playlistId=tt17526714&ref_=tt_ov_pr_ov_vi,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Drama', 'Horror', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi2758919705/1434659607842-pgv4ql-1723733647407.mp4?Expires=1736302865&Signature=i4~Z6tFrFtrj-zER~uqMa66p7iy4-pPPJ2~wJZWgH5Dbbn5SjY8M1PtEckn8lf--waHU~exciubZtifvS1716IVBOYa5qPUo-liz8Cpvow0527dzKymtzer9jXO2jWluMAHpilThlW15JoJJu4ihM7cKkmFrZZC3ivW~Puaf3wjgqTRMa2PrTsZS5GNwcIX7UNVANxKO2MGVSr2RsQpI8uFdpHWJFtf-NHn~RpXaYEZjYWCoB-3DlXnXcOfIdxWIBS8GyuzS~wu2fyipDuYlCdBllzgksQtbLWmT3EVpNug3tuS4G1eMFuyWfE2Aoe9tmTQZDiKfbzPuwqzqtTYtug__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,13.,Anora,2024,7.9, 56000,https://www.imdb.com/title/tt28607951/?ref_=sr_t_13,https://www.imdb.com/video/vi944621081/?playlistId=tt28607951&ref_=tt_ov_pr_ov_vi,"['Romantic Comedy', 'Steamy Romance', 'Comedy', 'Drama', 'Romance']",https://imdb-video.media-imdb.com/vi944621081/1434659607842-pgv4ql-1728490973851.mp4?Expires=1736303045&Signature=q~4WN3Bvz4RhZ~8OjyRVFhP38NwyH0jYQv--DMSxQbwPKheybOR4XIiFTQP-4kw0917YLNRyj8YJHqptdMKrzIVDe-K63rAiovdDfxYWpgTz01N35cxes1bssi4N264HTLNAZrZwVqA~4dKxYRAWkyCSQQB5Bj1jxGBKkfpbaNrrYzHPmF-RL7cRsV4aIaUqBzVdsiVOlwZ-dlsrQ7gSuDpORWIewp9bRr~TqhQtNOTmjI9MmyZKfq4NV48cRXpmahx2A7LTAdrjHYd2N4WYoXE3-~sNc6zKxem36C0COrJf9LvEEi7oClOsaXL~mPWpH1GiFgnW6gQhFYxm9LKuFw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,14.,Red One,2024,6.4, 122000,https://www.imdb.com/title/tt14948432/?ref_=sr_t_14,https://www.imdb.com/video/vi1537526041/?playlistId=tt14948432&ref_=tt_ov_pr_ov_vi,"['Holiday Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Holiday', 'Mystery']",https://imdb-video.media-imdb.com/vi1537526041/1434659607842-pgv4ql-1730391444474.mp4?Expires=1736303626&Signature=Qc4n-bx7ITvhGSq3DS4JHo7hPqGk7uWZqP-3GMkZtCw2t6em-S1EQyG303~6m0wACRnLON6v5tdrGb5N6HSVxNq09O1oFz~EA6FFkr6jnJRNuygVgAu0ORVAM5rbB7-x2F4VhMo5UaGZbuAEf0vJ9CSpVCVn7g06CytWk5BxkUkP6FJQlP2tXuriODCqUq5Tz7Voxre9hl-Je5ISsg9tmHuBIdYqKM8qdTatKoBUtn7jN3niWPDRRIR526taqmHZ8stPNiiJ3C7tgj6BN~ED-PeoOc4VdvDIf-~WF5Z7I4v9nZ4m2sBPUHMc5k2r9EAuUz1m-~ZaAICBVAoNVcehsw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,15.,Nightbitch,2024,5.7, 7.9000,https://www.imdb.com/title/tt12810074/?ref_=sr_t_15,https://www.imdb.com/video/vi4049978905/?playlistId=tt12810074&ref_=tt_ov_pr_ov_vi,"['Body Horror', 'Dark Comedy', 'Comedy', 'Horror']",https://imdb-video.media-imdb.com/vi4049978905/1434659607842-pgv4ql-1725384280380.mp4?Expires=1736303634&Signature=RkcqH098blrX~BrmT-uOjph9J3HUTIrWVkaL-N82S-H2kz0DLpeteUFi62VT9CrpM5qsTjK28zJsqjQ-EMo2ydO7lHaEwGXCeemtp099QQUh8s8CNF~YdFwEMnJ3NeA3HHzkNCanPSjPX1mmlpp41okVWs5Xj9UDmX3WpJMnXTicwRJLnPXO~vFe1bgcqRKMr~42AOLFeDDyMU0ZK8N91ht8~cOZ77EnCFwVOUbsOIcAKZDoj9i2EWXpPR8vdFLuafdC6dQw65QfRiBLmPkBE~khpLhgrbWEmO1HszuodaNHndyXU-AeN2sOAi4liBDff1wCyupaI7ZST91hB-UHGg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,16.,Conclave,2024,7.4, 58000,https://www.imdb.com/title/tt20215234/?ref_=sr_t_16,https://www.imdb.com/video/vi659473945/?playlistId=tt20215234&ref_=tt_ov_pr_ov_vi,"['Conspiracy Thriller', 'Drama', 'Mystery', 'Thriller']",https://imdb-video.media-imdb.com/vi659473945/1434659607842-pgv4ql-1728574335396.mp4?Expires=1736303642&Signature=HuY3wKGBQPMGkChe9uz5dhMEtuEMJfb8mJT6ldLdoRgA-lwrpnasjTxyebGuNthJ27yzUh8zrfLAUBbaVmP4M4tX4u8hYHkjpTM62bJDXAxslKzyUc-T8giMAhCl1X~IGiIgNaMlgMGS7xwfWPgqi2t3RAecAtCkJmtDRwy6SVz23e378~y2~yTEOapiPBZwmEegyp6a7OtMgBmeJa0HWd3PQ32Nt1B3UstmIcxbg3i2Fcjw7UqU8QH7R7W-IabtWs~voVmkUZdsoZDbELbdOceGaby5t97ejLqv6QiT5tz9r5ZTcj2q8U9Cyv3nCsDI3B0P1qH0kgPe5hWviDJwog__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,17.,Heretic,2024,7.0, 71000,https://www.imdb.com/title/tt28015403/?ref_=sr_t_17,https://www.imdb.com/video/vi2504771097/?playlistId=tt28015403&ref_=tt_ov_pr_ov_vi,"['Psychological Horror', 'Psychological Thriller', 'Horror', 'Thriller']",https://imdb-video.media-imdb.com/vi2504771097/1434659607842-pgv4ql-1728393648869.mp4?Expires=1736303649&Signature=KxdHf3tp3Dxy7WTV6JT08YBa~nWP4cpyU28REMK0YL20sJqxuu2IjDpGgfasruJfahv3l-LT201cOgl06jQVOa0C0IPFy3PX9qkfzWQYpSBXM-yFwn6EDfYjCmhexR-sztorbhTbDQvzqUaPZEqBJSThVBeSwCK3fXK~-uiq7PBzD-Fkd6u-cytrH3oLse-ZxHub~wrFzSO9eYt-2cFZN1OWEbl5hZVP41M82kJqFxacxWka4~OA06Iu8ihAt5l5MehfLCXCCO8IYG22SFXmyXUhOnChg~7x0yzChIBQRxsBccBepdXO4SCkXFL5QoV8~iqDIH~MlKaZfRD3VCE3aA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,18.,Better Man,2024,7.7, 5000,https://www.imdb.com/title/tt14260836/?ref_=sr_t_18,https://www.imdb.com/video/vi311675161/?playlistId=tt14260836&ref_=tt_ov_pr_ov_vi,"['Docudrama', 'Biography', 'Fantasy', 'Musical']",https://imdb-video.media-imdb.com/vi311675161/1434659607842-pgv4ql-1731596534033.mp4?Expires=1736303656&Signature=HCA0ihoEBX-M3MeOvcc1x26J2TUpLTkORmz4Q5~eFgFn-5zLzn0dEXqM3YrrgfvZRqNn7MpOl2ZyDIq~jThApeQ4zz5JixhpBeQLWlxyKouTgy6YUVdiH4ugO8kV7jI9r2-q3KfPwDuurYxf51sJTqnCO0nHaz2r0wVOAJE3x24gLeW8ULowCPjlPOUpjgXzUqGlgkG7z3lXXuAWKIy1gyODNtCGs6A~Vzw-7YVKaUyuGHZLRXwWmnQ9~UGhm~LO6HHLSi0jRx~Ylp6xXPvXdgjNjV26ttSGNpDsKVHLzJPvPIfrOgpm2CS-PYWFVXZEfwaaBNH50I~6DyfasObcew__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,19.,Love Me,2024,5.5, 778,https://www.imdb.com/title/tt21375602/?ref_=sr_t_19,https://www.imdb.com/video/vi3140536601/?playlistId=tt21375602&ref_=tt_ov_pr_ov_vi,"['Drama', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi3140536601/1434659607842-pgv4ql-1735767137094.mp4?Expires=1736303480&Signature=iTRN4OGdTSat7lW1Ut0LAKsJ8EfXCcbMLZ6vjms5b9Iz1d-wKKa8SfDTdpw-JwKpv7eESLqAErInCOyBjk7SxzuAVVMofoSvuK3jkl3LYyWVPkE7lG~Dm0v7-8ZzCMgjiN9u15g8geoOVagD~frVhwbio5un3KKb6st0smTOjmeBZ6-EJKcagUAYSY6gxJbw0cUEzx96-ec9lbENeL1a5QYTvbCdFgdyIdZyHMiE1F2gqGBcUYUfM9TbBurlzJ~PcWkJ3FQkY-mGVkOTRLtDKFHu4623Htx-j1ARri8nNTgt~dhhf9z1oesfNtvdzLyoZyVqp4J3qyYPFLc4wTR64Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,20.,Gladiator,2000,8.5, 1.7M,https://www.imdb.com/title/tt0172495/?ref_=sr_t_20,https://www.imdb.com/video/vi2628367897/?playlistId=tt0172495&ref_=tt_ov_pr_ov_vi,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi2628367897/1434659607842-pgv4ql-1473794595177.mp4?Expires=1736303670&Signature=ISe5VJHm7NiMIOwjJRjBYW84Mf8zimZ3epQFtFpsu~1RK9YBWQ9bWKlzE2UWm--Zsmxtcnb9Z9a0TrBQxM94aTMt13lTQEmKKu9wLDQUEl~wkzYabIzFvZlMt7OWN7XDF5gLqYuDeFrlha1bn67Oa-8tJSyoUz0nLpqn338soAW0YM~Ce6wtHnGKq~aRHNQD~sGqHFT-yHAX7yemEDv4cwIMHjC0Ok18MMm74yFX8IetKbBnKH8G-dvvbPxOpY2EKUg3xT5u2zbJw4p0RYGlknFybxI-slifhbJ0vy7yagR8vSZKohhNYBqSAg~ojTiXnLbf6L0wAkFa7UyowmV1jw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Movie,21.,Superman,2025,N/A,N/A,https://www.imdb.com/title/tt5950044/?ref_=sr_t_21,https://www.imdb.com/video/vi2009516313/?playlistId=tt5950044&ref_=tt_ov_pr_ov_vi,"['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi2009516313/1434659607842-pgv4ql-1734617303431.mp4?Expires=1736303677&Signature=RVxmJU9XrPzIOPSJc2dL3nM~WaWrAiDFCGv2B9yegUGxim7EEnG-XOGuwaNB9ByCfduH7suWGgBCWkjeu3GOomUuk4ZYBa5QXGVyML7URd5MgIVqlgeyv8J1skGvSldXS4dVDKWJWNonZUaoJ-kD0W0mXACuQFoBkp5ev2bb60VSst2X-yo6896ELM9drgITx-Or-pAc3cwyy~0h4CsUaoSPwq-N5KRRIQECel6AcmBXOPONJhXgWB1n~SAURD~EHgt6i~-Ln0zQYbd4G7ebm2ZRgdo~mHAFuCifz7SujdwQuGTXKAF82tnWwL5uF6vHbvngiCm4gv1BLT0eeJS0Ow__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
